Space,Frequency
GO,368630
Mediterranean Avenue,254895
Community Chest 1,225151
Baltic Avenue,258875
Income Tax,278101
Reading Railroad,353153
Oriental Avenue,269295
Chance 1,103203
Vermont Avenue,276316
Connecticut Avenue,274001
Jail/Just Visiting,744582
St. Charles Place,323187
Electric Company,311840
States Avenue,282091
Virginia Avenue,295585
Pennsylvania Railroad,347810
St. James Place,333715
Community Chest 2,307945
Tennessee Avenue,351078
New York Avenue,366929
Free Parking,345606
Kentucky Avenue,337857
Chance 2,125068
Indiana Avenue,326573
Illinois Avenue,380152
B&O Railroad,364846
Atlantic Avenue,322815
Ventnor Avenue,319839
Water Works,335799
Marvin Gardens,307488
Go to Jail,0
Pacific Avenue,318329
North Carolina Avenue,314507
Community Chest 3,285338
Pennsylvania Avenue,297817
Short Line,290131
Chance 3,103054
Park Place,261552
Luxury Tax,259672
Boardwalk,314178
